id,name,description,color,created_at
1333d795-e1b3-452d-a84f-fa25257fede5,CM War Room,Chief Minister War Room monitored projects,#6366f1,2026-03-18 09:38:39.83846+00
3b9d1dca-be08-4e6a-a01d-90f20bdefc1c,District Initiative,District-level initiative projects,#6366f1,2026-03-18 09:38:39.83846+00
3da3c1e7-2033-4487-913f-5e392ded5bc9,Central Scheme,Centrally sponsored scheme projects,#6366f1,2026-03-18 09:38:39.83846+00
9286825a-72f9-4bf1-94b3-e0426c432e4f,PRAGATI,Pro-Active Governance And Timely Implementation,#6366f1,2026-03-18 09:38:39.83846+00
bc63999c-b328-49ff-8371-9f4f647cb9e0,Other,General/uncategorized projects,#6366f1,2026-03-18 09:38:39.83846+00
c35d1085-ae05-4d06-ab22-2eb07e65fc07,State Priority,State-level priority projects,#6366f1,2026-03-18 09:38:39.83846+00
